E,E_ana,L,L_ana,N,N_ana,a_final,a_final_ana,a_initial,a_initial_ana,conservation,conservation_ana,deltaz,deltaz_ana,dt,iterations,method,program_time,skewness,skewness_ana,stdev,stdev_ana,time_ana
150.0,150.0,100.0,100.0,256.0,256.0,0.9999999972832939,0.9999999993699,0.9999999995092282,0.9999999995092282,99.99999977740656,99.99999998606718,5.0,5.0,1e-19,21540.0,rk,17.35584282875061,0.005494201655037167,-2.2928004899683038e-06,5.3618876128502935,5.0404781102283245,2.17399609374974e-14
150.0,150.0,100.0,100.0,256.0,256.0,0.9999973193674035,0.9999999993699094,0.9999999995092282,0.9999999995092282,99.9997319858174,99.9999999860681,5.0,5.0,5e-19,4308.0,rk,2.2661988735198975,0.005494182277287324,-2.2927147085699397e-06,5.361887702421746,5.040478052267299,2.1739945312497404e-14
150.0,150.0,100.0,100.0,256.0,256.0,0.9999144251172941,0.9999999993700595,0.9999999995092282,0.9999999995092282,99.9914425608024,99.99999998608313,5.0,5.0,1e-18,2154.0,rk,1.1581342220306396,0.005493948241434293,-2.29132020012263e-06,5.361889136337443,5.04047711040597,2.1739691406247405e-14
150.0,150.0,100.0,100.0,256.0,256.0,0.7756705882371582,0.999999999362677,0.9999999995092282,0.9999999995092282,77.56705886178354,99.99999998534487,5.0,5.0,5e-18,433.0,rk,0.7584884166717529,0.005615172570634595,-2.359880129307395e-06,5.366092503961018,5.040522810503965,2.1752007812497393e-14
150.0,150.0,100.0,100.0,256.0,256.0,0.001470848131964028,0.999999999342767,0.9999999995092282,0.9999999995092282,0.14708481326858788,99.99999998335387,5.0,5.0,1e-17,213.0,rk,0.19786357879638672,0.011189480568756292,-2.5450418537140825e-06,5.353603453391821,5.040640418148801,2.17836718749974e-14
150.0,150.0,100.0,100.0,512.0,512.0,0.9999999960539362,0.9999999994204584,0.9999999995069945,0.9999999995069945,99.99999965469418,99.99999999134639,5.0,5.0,1e-19,7181.0,rk,19.71839952468872,0.003020853588072078,-2.8219634641095725e-06,5.0078148263861975,5.040476579389756,2.1739523437497406e-14
150.0,150.0,100.0,100.0,512.0,512.0,0.9999897107852177,0.9999999994184516,0.9999999995069945,0.9999999995069945,99.99897112782182,99.99999999114571,5.0,5.0,5e-19,1437.0,rk,3.482497215270996,0.0030228679787346925,-2.9091092767956363e-06,5.007823659999575,5.04052116681731,2.17515390624974e-14
150.0,150.0,100.0,100.0,512.0,512.0,0.9996718492192329,0.9999999994155786,0.9999999995069945,0.9999999995069945,99.96718497120767,99.99999999085841,5.0,5.0,1e-18,719.0,rk,1.9543025493621826,0.003030565632656905,-3.009975889608677e-06,5.00785644924859,5.040572277932474,2.17653046874974e-14
150.0,150.0,100.0,100.0,1024.0,1024.0,0.9999999947026568,0.9999999994596926,0.9999999995067408,0.9999999995067408,99.9999995195916,99.99999999529518,5.0,5.0,1e-19,5868.0,rk,59.99211359024048,0.0007228504643403571,-3.1611334196672844e-06,5.03076107728438,5.040476465266006,2.1739476562497408e-14
150.0,150.0,100.0,100.0,1024.0,1024.0,0.9999850163288235,0.9999999994594853,0.9999999995067408,0.9999999995067408,99.99850168220753,99.99999999527445,5.0,5.0,5e-19,1174.0,rk,24.074501752853394,0.0007238817530338789,-3.217963039030352e-06,5.0307805207483085,5.040503453294399,2.17467499999974e-14
150.0,150.0,100.0,100.0,1024.0,1024.0,0.9995228792761184,0.9999999994596059,0.9999999995067408,0.9999999995067408,99.95228797691422,99.99999999528652,5.0,5.0,1e-18,587.0,rk,9.508194208145142,0.0007362964540141981,-3.2019730460191733e-06,5.030795946600888,5.040495886480042,2.1744710937497397e-14
150.0,150.0,250.0,250.0,512.0,512.0,0.6696061420679762,0.9999817179635325,1.0,1.0,66.96061420679762,99.99817179635325,5.0,5.0,5e-18,4699.0,rk,28.59357237815857,-0.011089753592359582,-2.9024287095820136,27.5702215896084,24.6793379368487,2.513544531249679e-14
150.0,150.0,250.0,250.0,512.0,512.0,3.295620278806229e-05,0.9999817175619011,1.0,1.0,0.003295620278806229,99.99817175619012,5.0,5.0,1e-17,2069.0,rk,13.378694534301758,-0.01647917146539637,-2.9024349450891793,25.578318007408228,24.67952087027182,2.5135648437496794e-14
150.0,150.0,250.0,250.0,1024.0,1024.0,0.9999921886781173,0.9999999999999998,1.0,1.0,99.99921886781173,99.99999999999997,5.0,5.0,5e-19,1691.0,rk,32.770578384399414,0.004778107777829926,-2.5257675960450894e-14,5.000163229712847,5.040502201269772,2.17465117187474e-14
150.0,150.0,250.0,250.0,1024.0,1024.0,0.9997507454304525,0.9999999999999999,1.0,1.0,99.97507454304525,99.99999999999999,5.0,5.0,1e-18,846.0,rk,19.015262603759766,0.004783565509414111,3.3676020336740006e-14,5.000185315486226,5.040546153026426,2.1758355468747404e-14
150.0,150.0,250.0,250.0,1024.0,1024.0,0.49433911755537163,0.9999999999999998,1.0,1.0,49.43391175553716,99.99999999999997,5.0,5.0,5e-18,173.0,rk,3.814505100250244,0.004811429194250525,-1.6835435575632912e-14,5.061223289050808,5.040803085138165,2.1827464843747388e-14
150.0,150.0,250.0,250.0,2048.0,2048.0,0.9999860323264849,1.0000000000000002,1.0,1.0,99.99860323264849,100.00000000000003,5.0,5.0,5e-19,1218.0,rk,78.90199184417725,0.0011402232858201018,-4.209527715741903e-14,5.025732054044257,5.040536105248848,2.1755648437497406e-14
