E,E_ana,L,L_ana,N,N_ana,a_final,a_final_ana,a_initial,a_initial_ana,conservation,conservation_ana,deltaz,deltaz_ana,dt,iterations,method,program_time,skewness,skewness_ana,stdev,stdev_ana,time_ana
150.0,150.0,100.0,100.0,2048.0,2048.0,0.9999999995156125,0.999999999472597,0.9999999995067105,0.9999999995067105,100.0000000008902,99.99999999658864,5.0,5.0,1e-17,128.0,cn,4.03169584274292,0.0019494690627378643,-4.195263995530132e-06,5.064238672522731,5.040822520508498,2.1832546874997384e-14
150.0,150.0,100.0,100.0,2048.0,2048.0,0.9999999995034473,0.9999999994773359,0.9999999995067105,0.9999999995067105,99.99999999967368,99.99999999706253,5.0,5.0,5e-17,369.0,cn,5.593079566955566,-0.010660147135079847,-3.752841649098766e-06,5.328803149663839,5.04065665684211,2.17879843749974e-14
150.0,150.0,100.0,100.0,2048.0,2048.0,0.9999999995013752,0.9999999994807477,0.9999999995067105,0.9999999995067105,99.99999999946647,99.99999999740372,5.0,5.0,1e-16,720.0,cn,13.954283714294434,-0.01099163198361159,-3.4641890210425034e-06,5.348077857010671,5.040531411129967,2.1754273437497408e-14
150.0,150.0,100.0,100.0,2048.0,2048.0,0.9999999995087326,0.9999999994819763,0.9999999995067105,0.9999999995067105,100.0000000002022,99.99999999752657,5.0,5.0,5e-16,3571.0,cn,39.63431215286255,-0.011084998293840517,-3.3642308215817793e-06,5.3544985076336395,5.04048567156309,2.1741949218747402e-14
150.0,150.0,100.0,100.0,4096.0,4096.0,0.9999999995137133,0.9999999994893002,0.9999999995067067,0.9999999995067067,100.00000000070067,99.99999999825936,5.0,5.0,5e-18,147.0,cn,27.55750298500061,0.006055481375393762,-4.331348816341303e-06,5.000057813680579,5.040825104816591,2.1833234374997393e-14
150.0,150.0,100.0,100.0,4096.0,4096.0,0.9999999995134138,0.9999999994924827,0.9999999995067067,0.9999999995067067,100.00000000067071,99.99999999857761,5.0,5.0,1e-17,127.0,cn,32.980212688446045,0.0019728283794969367,-3.7388880482454424e-06,5.064006875337672,5.040606234646166,2.1774414062497397e-14
150.0,150.0,100.0,100.0,4096.0,4096.0,0.9999999995089432,0.9999999994912283,0.9999999995067067,0.9999999995067067,100.00000000022365,99.99999999845217,5.0,5.0,5e-17,369.0,cn,39.10130548477173,-0.010658836319934183,-3.9526253129957884e-06,5.329167836331804,5.0406882888928255,2.1796484374997392e-14
150.0,150.0,100.0,100.0,4096.0,4096.0,0.9999999995080624,0.9999999994933368,0.9999999995067067,0.9999999995067067,100.00000000013557,99.99999999866301,5.0,5.0,1e-16,720.0,cn,59.52025508880615,-0.010991224836144599,-3.5902324450075634e-06,5.348171238527103,5.040541566664946,2.17570039062474e-14
150.0,150.0,250.0,250.0,512.0,512.0,0.9999998457256005,0.9999817223191904,1.0,1.0,99.99998457256005,99.99817223191904,5.0,5.0,5e-19,47186.0,cn,64.20494103431702,-0.011004135323309796,-2.9023610728114786,27.64734256270006,24.67735380089084,2.5133242187496797e-14
150.0,150.0,250.0,250.0,512.0,512.0,0.9999998456273789,0.9999817225662925,1.0,1.0,99.9999845627379,99.99817225662925,5.0,5.0,1e-18,23634.0,cn,27.662043571472168,-0.010953912518825226,-2.902357234962202,27.647446540467612,24.67724122514754,2.513311718749679e-14
