,psi_00,psi_01,psi_02,psi_03,psi_04,psi_05,psi_06,psi_07,psi_08,psi_09,psi_10,psi_11,psi_12,psi_13,psi_14,psi_15,psi_16,psi_squared_0,psi_squared_1,psi_squared_10,psi_squared_11,psi_squared_12,psi_squared_13,psi_squared_14,psi_squared_15,psi_squared_16,psi_squared_2,psi_squared_3,psi_squared_4,psi_squared_5,psi_squared_6,psi_squared_7,psi_squared_8,psi_squared_9,v_ev,z_ang
890,(0.11482406529196856+2.473544931781939e-13j),(-0.12994688564896098-2.860739277211997e-13j),(0.03174285982025305+4.9352698117371925e-14j),(0.09405487347928783+1.2112644236720287e-14j),(-0.1371483383808852-3.826071188763382e-14j),(0.05883874167398045+3.1449084690157713e-15j),(0.0712630373178027+7.768104498593769e-15j),(-0.13829708531526302+8.19070533031512e-15j),(0.08203745515435823+6.572746431137204e-16j),(0.04726554968769212+1.603551498495455e-14j),(-0.134140433960537-1.9149670710613248e-14j),(0.10077166781535103+1.8960456528817473e-14j),(0.02289374543975894-2.3902763717442584e-15j),(-0.1255609102451545-3.4176514303039385e-14j),(0.11331356744913473+3.230226988432449e-14j),(0.0033658363536144416+2.715234428541758e-15j),(-0.1127337080388445-2.6217012742063804e-14j),0.01318456597017426,0.01688619308986414,0.017993656023121186,0.010154929034287455,0.0005241235802604834,0.015765542181591746,0.012839964568049606,1.132885435931256e-05,0.012708888928187433,0.0010076091495682356,0.008846319225204841,0.018809666720637788,0.0034619975217774035,0.00507842048775854,0.019126083806697138,0.0067301440482033376,0.002234032187279693,0.0,-19.565217391304344
891,(0.11518750444129494+2.4622769940081663e-13j),(-0.1295040015354484-2.854757180642945e-13j),(0.0299289231745014+4.8323872411756286e-14j),(0.09586484772061812+1.2860453343312124e-14j),(-0.1366478185784819-3.8105512440607866e-14j),(0.05546981368089816+2.6432082868692904e-15j),(0.07492602387547384+8.81975612377421e-15j),(-0.13843717641267927+7.445021387826506e-15j),(0.07753076078894913+5.315563971830727e-16j),(0.05297051516306715+1.6375333387088265e-14j),(-0.1355453437418193-1.8436216106754572e-14j),(0.0956446212078798+1.6762513420757128e-14j),(0.03064931901846362+1.0637842809221442e-15j),(-0.12869202692718962-3.566715992798283e-14j),(0.10809946413069876+3.092203818633316e-14j),(0.012806547218398958+4.607084104972495e-15j),(-0.11705893317857254-2.750721707320084e-14j),0.013268161179413342,0.01677128641369342,0.018372540210087957,0.00914789356599881,0.0009393807562955558,0.0165616377946285,0.011685494145344229,0.00016400765165708209,0.01370279383690551,0.0008957404423852069,0.009190069028497302,0.018672626322257704,0.003076900229793556,0.005613909053788076,0.019164851813115284,0.0060110188685132526,0.002805875476640727,0.0,-19.418661455788964
892,(0.11554872900702+2.4512764388994497e-13j),(-0.12905058297517888-2.8489435563545767e-13j),(0.028109210482436732+4.7361871978907157e-14j),(0.09764461418619647+1.3604601764509162e-14j),(-0.13607942357569783-3.790855503889664e-14j),(0.05206112200523733+2.096781085526795e-15j),(0.07851676013519238+9.881481101838423e-15j),(-0.13840253398874616+6.687993807705173e-15j),(0.07290030362806162+4.087065567663258e-16j),(0.05857160407476584+1.6721986000875553e-14j),(-0.1366286540887656-1.772804785814677e-14j),(0.09024769952301386+1.4496357008366704e-14j),(0.038304502750656964+4.436009780095699e-15j),(-0.13133206894964738-3.7048624185101294e-14j),(0.1024134276108903+2.942563048770275e-14j),(0.022184011855664397+6.462561064946155e-15j),(-0.1207372664613947-2.85788794171362e-14j),0.013351508775137745,0.01665405296623353,0.018667389118107565,0.008144647269196195,0.001467234930975087,0.017248112334594935,0.010488510155011068,0.0004921303820122585,0.014577487512569825,0.0007901277139459311,0.00953447067957116,0.018517609520694187,0.002710360424444207,0.0061648816221273346,0.019155261414506037,0.005314454269063574,0.0034306328038911263,0.0,-19.272105520273584
893,(0.11590772847782539+2.439735509311166e-13j),(-0.12858665931107852-2.8435806911300527e-13j),(0.026284047306903948+4.640975864886671e-14j),(0.09939359089199315+1.4326308319521653e-14j),(-0.13544341141550903-3.772559454446297e-14j),(0.04861508815147274+1.5560681299665633e-15j),(0.08203174649750598+1.089822578712312e-14j),(-0.13819316471953505+5.915465978817541e-15j),(0.06815345204946073+3.064038831605496e-16j),(0.06405779229811145+1.705078813546029e-14j),(-0.13738775423359773-1.6982124084522035e-14j),(0.08459608129095139+1.2207593047566352e-14j),(0.04583400112673312+7.682479828890213e-15j),(-0.13347090240316262-3.8306190777828093e-14j),(0.09628025493812245+2.7843909913940173e-14j),(0.03145189300512644+8.25672699863302e-15j),(-0.12374848184155372-2.946719036261474e-14j),0.013434601520889296,0.016534528952783376,0.018875395013351448,0.0071564969697852565,0.0021007556592853734,0.01781448178831456,0.009269887490949853,0.0009892215736059216,0.015313686758089352,0.0006908511428315646,0.009879085910404903,0.018344917695870842,0.002363426795975465,0.006729207433431085,0.019097350775200545,0.004644893026258143,0.004103400754107987,0.0,-19.125549584758176
894,(0.11626449245428455+2.4279925300936113e-13j),(-0.12811226106873666-2.8383987028237425e-13j),(0.024453760744427785+4.546088350323633e-14j),(0.10111120482129023+1.502379241368978e-14j),(-0.1347400736254902-3.750771706218548e-14j),(0.045134160628096394+1.027111897502747e-15j),(0.08546755590819852+1.1924423287183718e-14j),(-0.13780929708790907+5.12043667744944e-15j),(0.06329776289332716+2.246381713920553e-16j),(0.0694182776245441+1.7414123531428323e-14j),(-0.13782080167144398-1.6168157592611468e-14j),(0.07870566531081301+9.951877770385724e-15j),(0.05321292782549846+1.0849335760905488e-14j),(-0.13510030679618618-3.941549612630066e-14j),(0.08972670048287318+2.6170027396386104e-14j),(0.04056438713278466+9.957947157645835e-15j),(-0.12607603610777784-3.013094384569962e-14j),0.013517432205652389,0.016412751436144138,0.018994573373359493,0.006194581752017714,0.0028316156877617083,0.018252092896423627,0.008050880779543234,0.0016454695034584257,0.0158951668806497,0.0005979864145457173,0.010223475740412904,0.01815488744060252,0.0020370924556028067,0.007304703112921039,0.018991402363863583,0.004006606787299864,0.00481889726835828,0.0,-18.978993649242796
895,(0.1166190104980781+2.416049415817071e-13j),(-0.12762741947082998-2.833767029655115e-13j),(0.02261867890533321+4.455982704183484e-14j),(0.10279689310243194+1.5696093824850158e-14j),(-0.13396973587438013-3.7298683008580756e-14j),(0.0416208146946313+4.964588204693136e-16j),(0.08882083615182182+1.2923153381274004e-14j),(-0.13725137922776914+4.245252247467376e-15j),(0.05834096806624499+1.542125174390498e-16j),(0.07464250356974758+1.7742167396216238e-14j),(-0.1379267284829446-1.5282755422330445e-14j),(0.07259302897727622+7.733315706752094e-15j),(0.060416886101420854+1.3985796104680847e-14j),(-0.1362140035443196-4.0371970103558354e-14j),(0.08278135720182868+2.4420535262840496e-14j),(0.049476454745639976+1.1536077070145414e-14j),(-0.12770716248620861-3.056355813906e-14j),0.01359999360955085,0.016288758200783193,0.01902378243000792,0.005269747856095666,0.0036502001261920604,0.01855425476157191,0.006852753100176753,0.0024479195741973605,0.01630911935027889,0.0005116046354225656,0.01056720123151282,0.017947890130251175,0.001732292215844837,0.007889140934708778,0.0188379410999249,0.0034036685549066175,0.00557150333915978,0.0,-18.832437713727415
896,(0.11697127228243642+2.4035549495139525e-13j),(-0.1271321669183389-2.8297170320719797e-13j),(0.020779131308169493+4.372045175962797e-14j),(0.10445010222982323+1.6351930468181886e-14j),(-0.13313275707625338-3.7077984117409325e-14j),(0.038077549131192365+2.1455031489443668e-18j),(0.09208831423123107+1.3959665574202245e-14j),(-0.13652008042956207+3.2812939331128165e-15j),(0.05329096364033485+5.883492858294648e-17j),(0.07972017778270217+1.8013916479961225e-14j),(-0.13770524242928261-1.432187033269282e-14j),(0.06627537879151729+5.552612956925578e-15j),(0.0674220515545509+1.704267616061937e-14j),(-0.1368076838621171-4.1182123247469974e-14j),(0.07547453438031484+2.2577628167502444e-14j),(0.05814403936374224+1.2980263435975969e-14j),(-0.12863293849911264-3.085185728334139e-14j),0.01368227853937188,0.016162587865352383,0.018962733792507496,0.0043924258339591,0.004545733035824519,0.01871634236371698,0.005696405339925327,0.003380729313532407,0.016546432866916497,0.0004317722979221496,0.010909823855820525,0.017724331006724697,0.0014498997478383684,0.008480257617949955,0.018637732360494097,0.0028399268057154913,0.00635530674570564,0.0,-18.685881778212035
897,(0.11732126744523043+2.3912542731977976e-13j),(-0.12662653651127798-2.825344216089584e-13j),(0.01893544837083065+4.287983424473853e-14j),(0.10607028922268368+1.696630420201882e-14j),(-0.13222952999291446-3.680380033408747e-14j),(0.03450688592616986-4.858593908062861e-16j),(0.09526679854420976+1.497353145322772e-14j),(-0.13561628845177742+2.3286761397434424e-15j),(0.0481557959373216-6.174252748525597e-17j),(0.08464129483682732+1.8200802793139272e-14j),(-0.13715682954953248-1.3322039430990971e-14j),(0.05977050491827959+3.3338928558165177e-15j),(0.07420524913295024+2.0058112303966703e-14j),(-0.13687902237245397-4.179831708343984e-14j),(0.06783812335168163+2.065597277173235e-14j),(0.06652428925900807+1.437545317887308e-14j),(-0.12884833743512708-3.093398955526294e-14j),0.013764279794955285,0.016034279748842015,0.018811995892079506,0.003572513258186085,0.005506418998883211,0.018735866765638754,0.004602010979877972,0.004425481061416176,0.01660189405979637,0.00035855120500439316,0.011250906255783765,0.017484648602147063,0.0011907251763216993,0.009075762904863047,0.0183917776934357,0.002318980682356959,0.007164148791654732,0.0,-18.539325842696627
898,(0.11766898573558865+2.379043232249137e-13j),(-0.12611056252326858-2.8202687305743987e-13j),(0.01708796179262043+4.198471367706593e-14j),(0.10765692085306726+1.7644259174751006e-14j),(-0.13126048032322574-3.647816145799564e-14j),(0.03091136702857145-1.0289908762105974e-15j),(0.09835318308439327+1.59685425426626e-14j),(-0.13454111044196826+1.3855954018775188e-15j),(0.0429436500760105-1.8107029432537197e-16j),(0.08939615360615315+1.8367054169906242e-14j),(-0.13628275160633227-1.2243550791432489e-14j),(0.05309672827225846+1.107038616409493e-15j),(0.0807440318859046+2.3032442487887735e-14j),(-0.13642768986204135-4.223574209122278e-14j),(0.059905460694405915+1.861317441076005e-14j),(0.07457576577120885+1.5715532560203035e-14j),(-0.12835225354104773-3.0840408291076314e-14j),0.013845990204042166,0.015903873979935233,0.01857298838539326,0.002819262553218051,0.0065195986851919775,0.01861251456109334,0.003588664221009012,0.005561544840362205,0.0164743009890654,0.0002919984382260556,0.011590012607563588,0.01722931369468393,0.0009555126115750541,0.009673348622832182,0.0181013103989579,0.001844157081850837,0.00799167227957493,0.0,-18.392769907181247
899,(0.118014416870768+2.366690580828328e-13j),(-0.12558427992836502-2.8144695761561156e-13j),(0.015237004056129754+4.1009569416342114e-14j),(0.10920947478574894+1.831904373003868e-14j),(-0.13022606725200442-3.6135467415654806e-14j),(0.02729355398206685-1.6079113697431679e-15j),(0.10134444948729592+1.6951298985214468e-14j),(-0.1332958697174397+4.538166630875957e-16j),(0.03766283561521458-3.1356404056465995e-16j),(0.0939753788788053+1.852205650321178e-14j),(-0.13508504494628623-1.1123675723545065e-14j),(0.0462728518492224-1.1668185171962226e-15j),(0.08701675353206893+2.592121144177707e-14j),(-0.135455351736938-4.248787282587009e-14j),(0.05171118070065504+1.647521577476639e-14j),(0.08225865215992863+1.695897340618991e-14j),(-0.1271475102776206-3.06009451830204e-14j),0.01392740258934741,0.015771411365125946,0.01824796936814017,0.0021411768182600845,0.007571915395260831,0.018348152314177597,0.0026740462094557984,0.006766485855168131,0.01616648936979764,0.00023216629260651458,0.011926709382979133,0.01695882859192358,0.0007449380889719972,0.010270697441883074,0.01776778888372866,0.0014184891865786757,0.008831371835415006,0.0,-18.246213971665867
