,L,n
0,10.0,2
1,10.707070707070708,2
2,11.414141414141413,2
3,12.121212121212121,2
4,12.828282828282829,3
5,13.535353535353536,3
6,14.242424242424242,3
7,14.94949494949495,3
8,15.656565656565657,3
9,16.363636363636363,3
10,17.070707070707073,3
11,17.77777777777778,3
12,18.484848484848484,4
13,19.19191919191919,4
14,19.8989898989899,4
15,20.606060606060606,4
16,21.313131313131315,4
17,22.02020202020202,4
18,22.727272727272727,4
19,23.434343434343432,4
20,24.141414141414142,4
21,24.848484848484848,5
22,25.555555555555557,5
23,26.262626262626263,5
24,26.96969696969697,5
25,27.67676767676768,5
26,28.383838383838384,5
27,29.09090909090909,5
28,29.7979797979798,5
29,30.505050505050505,5
30,31.21212121212121,6
31,31.91919191919192,6
32,32.62626262626263,6
33,33.33333333333333,6
34,34.04040404040404,6
35,34.74747474747475,6
36,35.45454545454545,6
37,36.161616161616166,6
38,36.868686868686865,7
39,37.57575757575758,7
40,38.282828282828284,7
41,38.98989898989899,7
42,39.696969696969695,7
43,40.4040404040404,7
44,41.111111111111114,7
45,41.81818181818181,7
46,42.525252525252526,7
47,43.23232323232323,8
48,43.93939393939394,8
49,44.64646464646464,8
50,45.35353535353536,9
51,46.06060606060606,8
52,46.76767676767677,8
53,47.474747474747474,8
54,48.18181818181818,8
55,48.888888888888886,8
56,49.5959595959596,9
57,50.303030303030305,9
58,51.01010101010101,10
59,51.717171717171716,9
60,52.42424242424242,9
61,53.13131313131313,9
62,53.83838383838384,9
63,54.54545454545455,9
64,55.25252525252525,10
65,55.95959595959596,10
66,56.666666666666664,10
67,57.37373737373738,11
68,58.08080808080808,10
69,58.78787878787879,10
70,59.494949494949495,10
71,60.2020202020202,10
72,60.90909090909091,10
73,61.61616161616162,11
74,62.323232323232325,11
75,63.03030303030303,12
76,63.73737373737374,11
77,64.44444444444444,11
78,65.15151515151516,11
79,65.85858585858585,11
80,66.56565656565657,11
81,67.27272727272728,11
82,67.97979797979798,12
83,68.68686868686868,12
84,69.39393939393939,12
85,70.1010101010101,12
86,70.8080808080808,13
87,71.51515151515152,12
88,72.22222222222223,12
89,72.92929292929293,12
90,73.63636363636363,13
91,74.34343434343434,13
92,75.05050505050505,13
93,75.75757575757575,13
94,76.46464646464646,13
95,77.17171717171718,13
96,77.87878787878788,13
97,78.58585858585859,13
98,79.29292929292929,13
99,80.0,14
