metodo,psi2,tempo,z
Solucao Analitica,2.1789874532283933e-35,0.00e+00,-388.87396189545683
Solucao Analitica,1.2053088339391925e-35,0.00e+00,-388.4587200781632
Solucao Analitica,6.925773357734279e-35,0.00e+00,-388.04347826086956
Solucao Analitica,1.649558081615624e-35,0.00e+00,-387.628236443576
Solucao Analitica,1.209142484065283e-34,0.00e+00,-387.21299462628235
Solucao Analitica,1.6744274054016037e-35,0.00e+00,-386.7977528089888
Solucao Analitica,2.416623063450042e-35,0.00e+00,-386.38251099169514
Solucao Analitica,6.104396490915723e-35,0.00e+00,-385.96726917440157
Solucao Analitica,1.0860790052991165e-34,0.00e+00,-385.55202735710793
Solucao Analitica,3.829215608372672e-35,0.00e+00,-385.1367855398144
Solucao Analitica,1.219084468744048e-34,0.00e+00,-384.7215437225208
Solucao Analitica,8.657296173769142e-35,0.00e+00,-384.3063019052272
Solucao Analitica,2.559770389307073e-35,0.00e+00,-383.89106008793357
Solucao Analitica,1.7398949479661517e-34,0.00e+00,-383.47581827064
Solucao Analitica,9.92006374166453e-35,0.00e+00,-383.06057645334636
Solucao Analitica,1.0450564859846966e-35,0.00e+00,-382.6453346360528
Solucao Analitica,1.2089730285133435e-35,0.00e+00,-382.23009281875915
Solucao Analitica,4.7563108304233875e-36,0.00e+00,-381.8148510014655
Solucao Analitica,4.201434749886412e-36,0.00e+00,-381.399609184172
Solucao Analitica,4.312755754631866e-35,0.00e+00,-380.9843673668784
Solucao Analitica,3.091324512406865e-35,0.00e+00,-380.5691255495848
Solucao Analitica,1.0157668923462386e-35,0.00e+00,-380.15388373229115
Solucao Analitica,1.9312534333564675e-35,0.00e+00,-379.7386419149976
Solucao Analitica,8.85822389022838e-37,0.00e+00,-379.32340009770394
Solucao Analitica,1.2898719907559083e-36,0.00e+00,-378.90815828041036
Solucao Analitica,1.0544391904105538e-35,0.00e+00,-378.4929164631167
Solucao Analitica,1.90336574253948e-35,0.00e+00,-378.07767464582315
Solucao Analitica,1.0144339959129454e-35,0.00e+00,-377.6624328285296
Solucao Analitica,3.5403747138420995e-36,0.00e+00,-377.247191011236
Solucao Analitica,1.4942200960540445e-35,0.00e+00,-376.83194919394236
Solucao Analitica,7.846848383876532e-35,0.00e+00,-376.4167073766488
Solucao Analitica,2.0327679201994976e-35,0.00e+00,-376.00146555935515
Solucao Analitica,2.3035597927713753e-35,0.00e+00,-375.5862237420616
Solucao Analitica,3.108784154514426e-35,0.00e+00,-375.17098192476794
Solucao Analitica,4.412932075764584e-37,0.00e+00,-374.75574010747437
Solucao Analitica,5.151767668839132e-35,0.00e+00,-374.34049829018073
Solucao Analitica,4.774333360380737e-36,0.00e+00,-373.9252564728872
Solucao Analitica,2.0416892265222958e-35,0.00e+00,-373.5100146555936
Solucao Analitica,2.6181191174085946e-36,0.00e+00,-373.0947728383
Solucao Analitica,5.23004324103878e-35,0.00e+00,-372.67953102100637
Solucao Analitica,3.4968567981796104e-34,0.00e+00,-372.26428920371274
Solucao Analitica,2.112510788279168e-35,0.00e+00,-371.84904738641916
Solucao Analitica,1.8822845087292547e-35,0.00e+00,-371.4338055691256
Solucao Analitica,7.32193325826097e-36,0.00e+00,-371.01856375183195
Solucao Analitica,3.134899808045479e-35,0.00e+00,-370.6033219345383
Solucao Analitica,4.393935456087645e-35,0.00e+00,-370.1880801172448
Solucao Analitica,5.574775142858969e-35,0.00e+00,-369.77283829995116
Solucao Analitica,1.2411202565786448e-34,0.00e+00,-369.3575964826576
Solucao Analitica,1.1076393183321757e-34,0.00e+00,-368.94235466536395
Solucao Analitica,2.890077435809033e-35,0.00e+00,-368.5271128480704
Solucao Analitica,6.677989522568173e-35,0.00e+00,-368.11187103077674
Solucao Analitica,2.803711658214888e-35,0.00e+00,-367.69662921348316
Solucao Analitica,3.471545695482006e-35,0.00e+00,-367.28138739618953
Solucao Analitica,3.2062664621050965e-34,0.00e+00,-366.86614557889595
Solucao Analitica,3.434260125309454e-36,0.00e+00,-366.4509037616023
Solucao Analitica,2.0363437901165812e-36,0.00e+00,-366.0356619443088
Solucao Analitica,1.3124304923195327e-35,0.00e+00,-365.62042012701517
Solucao Analitica,5.914369265502859e-35,0.00e+00,-365.2051783097216
Solucao Analitica,6.550753649686358e-35,0.00e+00,-364.78993649242796
Solucao Analitica,2.47883318283204e-35,0.00e+00,-364.3746946751344
Solucao Analitica,2.822175126423436e-35,0.00e+00,-363.95945285784074
Solucao Analitica,5.284642631931651e-35,0.00e+00,-363.54421104054717
Solucao Analitica,2.756763841418659e-35,0.00e+00,-363.12896922325353
Solucao Analitica,7.217834182985318e-36,0.00e+00,-362.7137274059599
Solucao Analitica,1.1401617916192025e-35,0.00e+00,-362.2984855886664
Solucao Analitica,2.3460295848520432e-35,0.00e+00,-361.8832437713728
Solucao Analitica,4.413574484788303e-36,0.00e+00,-361.46800195407917
Solucao Analitica,4.820445193332959e-36,0.00e+00,-361.05276013678554
Solucao Analitica,1.1219873173407953e-34,0.00e+00,-360.63751831949196
Solucao Analitica,1.1796453152486285e-34,0.00e+00,-360.2222765021983
Solucao Analitica,1.251410163721291e-35,0.00e+00,-359.80703468490475
Solucao Analitica,5.363192975626686e-36,0.00e+00,-359.3917928676111
Solucao Analitica,1.2872122318984838e-34,0.00e+00,-358.97655105031754
Solucao Analitica,1.1090587161916735e-34,0.00e+00,-358.56130923302396
Solucao Analitica,1.0008232371297882e-34,0.00e+00,-358.1460674157304
Solucao Analitica,1.2002715676857137e-35,0.00e+00,-357.73082559843675
Solucao Analitica,1.4135558340928016e-34,0.00e+00,-357.3155837811432
Solucao Analitica,7.020640010286112e-36,0.00e+00,-356.90034196384954
Solucao Analitica,3.106978506017158e-36,0.00e+00,-356.48510014655596
Solucao Analitica,2.432465153835945e-35,0.00e+00,-356.06985832926233
Solucao Analitica,1.779698447144943e-35,0.00e+00,-355.65461651196875
Solucao Analitica,1.1053467254369675e-34,0.00e+00,-355.2393746946751
Solucao Analitica,4.565693526990692e-36,0.00e+00,-354.8241328773815
Solucao Analitica,3.45360240271588e-35,0.00e+00,-354.40889106008797
Solucao Analitica,3.391301202122299e-35,0.00e+00,-353.9936492427944
Solucao Analitica,7.330610154263877e-35,0.00e+00,-353.57840742550076
Solucao Analitica,1.0638223874941702e-35,0.00e+00,-353.1631656082071
Solucao Analitica,1.0955607349663718e-35,0.00e+00,-352.74792379091355
Solucao Analitica,4.0965978126156726e-36,0.00e+00,-352.33268197361997
Solucao Analitica,5.195685030634511e-35,0.00e+00,-351.91744015632634
Solucao Analitica,3.846217515890524e-35,0.00e+00,-351.5021983390327
Solucao Analitica,1.3057978996109383e-34,0.00e+00,-351.0869565217391
Solucao Analitica,5.736412432012764e-36,0.00e+00,-350.67171470444555
Solucao Analitica,4.100124295668139e-35,0.00e+00,-350.256472887152
Solucao Analitica,7.027105229215635e-35,0.00e+00,-349.84123106985834
Solucao Analitica,2.4873460463399604e-35,0.00e+00,-349.42598925256476
Solucao Analitica,3.9120451995365723e-35,0.00e+00,-349.0107474352711
Solucao Analitica,4.7489971773220415e-36,0.00e+00,-348.59550561797755
Solucao Analitica,1.0278522603590082e-34,0.00e+00,-348.1802638006839
Solucao Analitica,8.200248591336279e-35,0.00e+00,-347.76502198339034
Solucao Analitica,1.6268841815380457e-34,0.00e+00,-347.3497801660967
