E,E_ana,L,L_ana,N,N_ana,a_final,a_final_ana,a_initial,a_initial_ana,conservation,conservation_ana,deltaz,deltaz_ana,dt,iterations,method,program_time,skewness,skewness_ana,stdev,stdev_ana,time_ana
150.0,150.0,100.0,100.0,512.0,512.0,0.9999999994073481,0.9999999994204498,0.9999999995069945,0.9999999995069945,99.99999999003536,99.99999999134553,5.0,5.0,1e-20,55067.0,pe,22.34322500228882,-2.8223731243416666e-06,-2.822357561612964e-06,5.040476790051129,5.040476782268306,2.1739578124997403e-14
150.0,150.0,100.0,100.0,512.0,512.0,0.9999999994178446,0.9999999994202637,0.9999999995069945,0.9999999995069945,99.999999991085,99.99999999132693,5.0,5.0,5e-20,11014.0,pe,4.4702959060668945,-2.8309136710188596e-06,-2.8309210229501208e-06,5.0404811838597405,5.040481187755327,2.17407656249974e-14
150.0,150.0,100.0,100.0,512.0,512.0,0.999999999418862,0.9999999994202637,0.9999999995069945,0.9999999995069945,99.99999999118675,99.99999999132693,5.0,5.0,1e-19,5507.0,pe,2.254173755645752,-2.830913502634578e-06,-2.8309210229501208e-06,5.040481183858357,5.040481187755327,2.17407656249974e-14
150.0,150.0,100.0,100.0,512.0,512.0,0.9999999994180183,0.9999999994182549,0.9999999995069945,0.9999999995069945,99.99999999110238,99.99999999112605,5.0,5.0,5e-19,1102.0,pe,0.4666941165924072,-2.91690948939323e-06,-2.916918775874816e-06,5.0405251349649784,5.04052513969765,2.1752609374997397e-14
150.0,150.0,100.0,100.0,512.0,512.0,0.9999999994181348,0.9999999994182549,0.9999999995069945,0.9999999995069945,99.99999999111404,99.99999999112605,5.0,5.0,1e-18,551.0,pe,0.22336101531982422,-2.9169094641360407e-06,-2.916918775874816e-06,5.040525134964897,5.04052513969765,2.1752609374997397e-14
150.0,150.0,100.0,100.0,512.0,512.0,0.9999999993458919,0.9999999993459179,0.9999999995069945,0.9999999995069945,99.99999998388974,99.99999998389234,5.0,5.0,5e-18,111.0,pe,0.04485940933227539,-4.24845009735803e-06,-4.24846808377211e-06,5.041113415850075,5.0411134220832245,2.1910523437497372e-14
150.0,150.0,100.0,100.0,512.0,512.0,0.9999999992383718,0.9999999992383843,0.9999999995069945,0.9999999995069945,99.99999997313773,99.99999997313898,5.0,5.0,1e-17,56.0,pe,0.023347854614257812,-6.7669923960663715e-06,-6.7669957831842375e-06,5.041854770317447,5.04185477108735,2.2107914062497338e-14
150.0,150.0,100.0,100.0,512.0,512.0,0.9999999916637484,0.9999999916637474,0.9999999995069945,0.9999999995069945,99.9999992156754,99.9999992156753,5.0,5.0,5e-17,12.0,pe,0.0053348541259765625,-0.00021040740023861918,-0.00021040749448597793,5.04804628329862,5.048046284194031,2.3687050781247055e-14
150.0,150.0,100.0,100.0,512.0,512.0,0.9999999916637499,0.9999999916637474,0.9999999995069945,0.9999999995069945,99.99999921567554,99.9999992156753,5.0,5.0,1e-16,6.0,pe,0.0032088756561279297,-0.00021040740025538224,-0.00021040749448597793,5.04804628329862,5.048046284194031,2.3687050781247055e-14
150.0,150.0,100.0,100.0,1024.0,1024.0,0.9999999994529508,0.9999999994596922,0.9999999995067408,0.9999999995067408,99.999999994621,99.99999999529514,5.0,5.0,1e-20,55067.0,pe,26.58705997467041,-3.16193543085338e-06,-3.1619187499244356e-06,5.040476849833957,5.040476842051051,2.1739578124997403e-14
150.0,150.0,100.0,100.0,1024.0,1024.0,0.9999999994582347,0.9999999994596863,0.9999999995067408,0.9999999995067408,99.9999999951494,99.99999999529454,5.0,5.0,5e-20,11014.0,pe,5.324333190917969,-3.1711204138178644e-06,-3.171127874410405e-06,5.04048124377373,5.040481247669822,2.17407656249974e-14
150.0,150.0,100.0,100.0,1024.0,1024.0,0.9999999994588651,0.9999999994596863,0.9999999995067408,0.9999999995067408,99.99999999521243,99.99999999529454,5.0,5.0,1e-19,5507.0,pe,2.6604437828063965,-3.171119992852813e-06,-3.171127874410405e-06,5.040481243772954,5.040481247669822,2.17407656249974e-14
150.0,150.0,100.0,100.0,1024.0,1024.0,0.9999999994585083,0.9999999994586494,0.9999999995067408,0.9999999995067408,99.99999999517675,99.99999999519086,5.0,5.0,5e-19,1102.0,pe,0.5269975662231445,-3.263511668956211e-06,-3.263521375416505e-06,5.040525196001145,5.040525200733898,2.1752609374997397e-14
150.0,150.0,100.0,100.0,1024.0,1024.0,0.9999999994585838,0.9999999994586494,0.9999999995067408,0.9999999995067408,99.9999999951843,99.99999999519086,5.0,5.0,1e-18,551.0,pe,0.2703211307525635,-3.2635115595078524e-06,-3.263521375416505e-06,5.0405251960011075,5.040525200733898,2.1752609374997397e-14
150.0,150.0,100.0,100.0,1024.0,1024.0,0.9999999994245589,0.9999999994245709,0.9999999995067408,0.9999999995067408,99.9999999917818,99.999999991783,5.0,5.0,5e-18,111.0,pe,0.05378079414367676,-4.7894279296477145e-06,-4.789446646259954e-06,5.041113512809488,5.0411135190427325,2.1910523437497372e-14
150.0,150.0,100.0,100.0,1024.0,1024.0,0.9999999993723807,0.9999999993723884,0.9999999995067408,0.9999999995067408,99.99999998656399,99.99999998656476,5.0,5.0,1e-17,56.0,pe,0.027316808700561523,-7.58462947538971e-06,-7.584633156568395e-06,5.041854918523954,5.041854919293876,2.2107914062497338e-14
150.0,150.0,100.0,100.0,1024.0,1024.0,0.9999999953724897,0.9999999953724894,0.9999999995067408,0.9999999995067408,99.99999958657489,99.99999958657486,5.0,5.0,5e-17,12.0,pe,0.006505250930786133,-0.0002324426463950941,-0.00023244275181118074,5.048050179620095,5.0480501805174605,2.3687050781247055e-14
